Toode,Grossi,Maxima,Prisma,Selver,Rimi,Coop,Stockmann,Kaubamaja,Lidl,A1000 market
Piim TERE 2.5% 1L,1.24,0.99,1.19,1.29,1.49,1.15,1.70,1.39,---,0.95
Keefir TERE Hellus 1kg,1.38,1.29,1.19,1.59,1.29,1.39,1.70,1.65,---,1.37
Keefir VALIO Gefilus 1kg,1.24,1.55,1.49,1.19,1.59,1.19,1.60,1.65,---,1.15
Hapukoor TERE 20% 330g,1.34,1.35,---,---,1.35,---,---,1.55,---,---
Kohuke TERE 1 tk,0.48,0.49,0.49,0.39,0.55,0.49,0.45,0.55,---,0.45
Kohupiimakreem Emma TERE 150g,1.04,1.05,1.05,1.09,1.05,1.05,0.90,1.10,---,0.79
Või TERE 82% 200g,2.38,2.39,1.69,2.69,2.39,1.69,3.10,2.70,---,2.29
Sulatatud juust MEREVAIK 200g,1.48,1.59,1.49,1.59,1.62,1.79,2.10,1.89,---,1.69
Juust Atleet Originaal viilutatud. VALIO. 150g,1.58,1.29,1.59,1.59,1.59,1.39,2.90,1.49,---,---
Vähendatud rasvasisaldusega margariin Voimix 400g,1.58,1.29,1.59,1.79,1.65,1.35,---,1.90,---,1.67
Taimne rasvavõie Keiju 400g,1.88,1.89,1.49,2.09,1.89,1.89,2.20,2.15,---,---
Tomatiketšup Felix 500g,2.78,1.99,2.79,2.79,3.19,2.75,3.60,2.80,---,2.79
Provansaal majonees 50%. TARPLAN. 430g,1.78,1.79,1.79,1.99,1.99,1.85,---,---,---,---
Munad M-suurus. 10 tk,1.78,1.69,1.75,1.79,1.68,1.79,2.70,2.60,1.68,1.95
Tallinna Peenleib 475g viilutatud LEIBUR. 475 g,0.84,1.39,0.79,0.79,1.39,0.89,1.90,1.55,---,---
Rukkileib Rehe viilutatud. Eesti Pagar. 390g,0.98,1.05,1.05,1.09,1.05,1.05,1.10,1.15,---,0.93
Kirde sai viilutatud. Leibur. 300g,1.08,1.09,1.09,1.09,1.09,1.09,---,1.20,---,---
Banaan 1kg,1.48,1.29,1.39,1.59,1.29,1.49,2.50,2.40,1.29,1.39
Apelsin 1kg,1.64,0.99,1.79,1.76,1.79,2.29,1.90,2.40,1.80,1.39
Õun 1kg,0.64,0.59,0.59,0.65,0.59,0.65,0.95,1.10,0.89,0.78
Kartul 1kg ,0.98,0.39,0.69,0.75,0.39,0.39,0.85,0.90,0.39,0.49
Mugulsibul 1kg,1.08,1.09,1.09,0.99,0.99,0.99,2.50,3.30,1.09,1.19
Kurk 1kg ,1.98,1.79,2.49,1.99,1.99,1.45,2.90,2.10,1.99,3.37
Tomat 1kg ,1.24,0.99,1.49,1.49,0.99,1.39,3.10,2.30,2.49,1.39
Avokaado 1 kg ,2.98,3.99,4.99,4.99,3.99,3.84,11.60,4.00,4.99,3.84
Porgand 1kg ,1.28,1.29,1.29,1.49,1.29,1.29,2.60,2.30,1.49,1.79
Baklazaan 1kg ,1.78,1.79,---,2.99,2.69,2.15,3.10,2.30,2.39,2.37
Lipton puuvilja tee 1 pakk (Maitsestatud must tee),0.88,1.89,1.89,1.59,2.69,1.85,2.80,2.39,---,1.89
Dilmah tee 1 pakk,1.68,1.49,1.69,2.59,1.25,1.99,---,1.65,---,---
Jahvatatud filtrikohv Presidentti Original. PAULIG. 500 g,6.48,6.49,6.69,6.49,6.99,4.29,7.90,5.89,---,5.39
Aura multinektar 1L,1.48,1.49,1.49,1.59,1.69,1.49,1.80,1.55,---,1.19
Vesi AURA 1.5L,0.68,0.79,0.69,0.69,---,0.79,0.80,0.80,---,0.65
Vesi VICHY Classique sidrunimaitseline.1.5L,0.68,0.69,0.69,0.69,---,0.75,0.95,0.79,---,0.69
Coca - Cola 2L,1.98,1.29,1.89,2.29,2.09,2.29,---,---,---,2.09
Riis pikateraline 1kg,1.24,1.24,1.69,1.29,0.98,1.29,3.60,2.85,0.98,1.55
Makaronid 400g,0.44,0.45,0.55,0.79,0.38,0.62,1.90,1.39,0.38,0.69
Tatar 1kg,1.48,1.99,2.35,2.59,1.98,2.29,3.90,---,1.98,2.49
Suhkur 1kg,1.28,1.19,1.19,1.29,1.19,1.29,1.90,2.05,1.19,1.39
Sool 1kg,0.38,0.49,0.49,0.75,0.79,0.65,1.10,1.44,0.38,0.45
Broilerifilee jahutatud 1kg,6.28,5.99,7.39,6.49,7.29,7.99,9.90,8.65,5.98,7.38
Sealiha  1kg,4.48,4.99,5.99,4.59,4.99,7.19,9.90,8.90,4.99,---
Veiseliha  1kg,---,11.89,16.49,17.99,13.99,15.99,17.50,19.99,---,---
Rakvere perepihv 400g,1.88,---,1.89,1.99,---,1.99,---,---,---,---
Rakvere lastevorst viilutatud 190g,1.28,1.29,1.29,1.49,---,---,1.80,1.39,---,---
Valla lastevorst viilutatud 240g,0.88,0.79,0.75,0.89,0.75,0.89,---,---,---,---
Rakvere Viru Sink vilutatud 150g,---,---,1.45,1.59,---,1.69,---,---,---,---
Rakvere Pereviiner 500g,1.38,1.59,1.29,1.29,1.65,1.49,---,---,---,1.59
Rakvere Kodune hakkliha 400g,3.18,3.35,3.35,2.99,2.99,3.49,---,---,---,2.99
Rakvere Suitsusardell 500g,2.68,2.69,2.59,2.89,2.89,2.69,---,---,---,1.99
Kalapulgad ESVA 250g,1.68,1.79,1.69,1.79,1.39,1.35,3.10,1.45,---,0.99
Heeringafilee kergsoola VICI 220g,---,2.45,1.59,2.49,2.19,---,---,---,---,1.13
Sprotid õlis 160g,---,1.29,---,1.99,---,1.89,---,2.50,---,---
Lõhefilee jahutatud 1kg,---,13.99,---,19.99,---,18.99,36.90,27.90,---,---
Šampoon Head & Shoulders 250 ml,3.98,5.99,3.99,6.49,---,5.99,---,---,---,3.49
Plekieemaldaja Vanish 1L,5.48,7.29,5.95,7.49,7.29,5.49,7.60,---,---,6.99
Nõudepesuvahend Fairy 450 ml,1.88,1.49,1.99,1.99,2.25,1.29,2.10,1.59,---,1.49
Pesuloputusvahend Lenor 930 ml,3.48,3.89,3.85,3.79,2.79,3.65,---,---,---,---
Mähkmed Pampers 4 (9-15kg),9.88,---,10.19,---,---,---,---,---,---,6.80
Gillette ras.vaht 200ml,1.98,2.00,3.99,3.69,3.19,3.99,---,---,---,---
Hambapasta Colgate 100 ml,2.58,1.79,1.99,2.99,2.49,1.89,3.50,3.50,---,1.19
Hambapasta Blend-a-med 100 ml,---,2.99,---,---,---,2.69,---,---,---,---
